Priority,"Type of support",PHN,Name,Details,"Resource name links to"
"Little interest or pleasure in doing things",Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Little interest or pleasure in doing things",Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
"Little interest or pleasure in doing things","Mobile app","Brisbane North",MoodMission,"Sets simple and effective missions to help you achieve better mental health",http://moodmission.com/
"Little interest or pleasure in doing things","Near me","Brisbane North",MeetUp,"Meet people with similar interests or get inspired to try something new",https://www.meetup.com/en-AU/find/?allMeetups=true&amp;radius=3&amp;userFreeform=Brisbane%2C+Australia&amp;mcId=c1000655&amp;change=yes&amp;sort=default
Mood,Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Mood,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Mood,"Mobile app","Brisbane North","Smiling mind","Build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
Mood,"Near me","Brisbane North",Grow,"Provides a chance to talk with others about mental health and wellbeing difficulties, share experiences, and support each other",https://www.grow.org.au/qld/
Sleep,Online,"Brisbane North",iSleepWell,"A six-module program including education, monitoring, practical strategies to improve sleep, and relapse prevention",https://www.mydigitalhealth.org.au/programs-available/
Sleep,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Sleep,"Mobile app","Brisbane North","Smiling mind","Mindfulness training with a sleep-specific module as well as others that may assist in improving sleep (e.g., stress) ",https://smilingmind.com.au/smiling-mind-app/
Sleep,"Near me","Brisbane North","Relaxation Centre of Queensland Meetup Group","Offers talks and courses to assist insomnia, depression, anxiety, stress and more",https://www.meetup.com/RELAXATION-CENTRE-OF-QUEENSLAND/
Energy,Online,"Brisbane North",MindSpot,"Provides free online assessment and treatment for people troubled by problems with energy and other symptoms of anxiety or depression",https://mindspot.org.au/
Energy,Telephone,"Brisbane North","New Access","Provides free support from a trained coach; call 07 3358 4424",https://www.beyondblue.org.au/get-support/newaccess
Energy,"Mobile app","Brisbane North",Recharge,"Assists you to improve energy by establishing a good sleep/wake routine that includes regular exercise and exposure to daylight",https://au.reachout.com/tools-and-apps/recharge
