Priority,"Type of support",PHN,Location,Name,Details,"Resource name links to"
"Little interest or pleasure in doing things",Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Little interest or pleasure in doing things",Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
"Little interest or pleasure in doing things","Mobile app","North Coast",,MoodMission,"Sets simple and effective missions to help you achieve better mental health",http://moodmission.com/
"Little interest or pleasure in doing things","Near me","North Coast","Coffs Harbour",CoffsConnect,"Meet people with similar interests, get inspired to try something new, or join a support group",http://coffsconnect.com.au/community-groups
"Little interest or pleasure in doing things","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
Mood,Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Mood,Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
Mood,"Mobile app","North Coast",,"Smiling mind","Build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
Mood,"Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
Mood,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
Sleep,Online,"North Coast",,iSleepWell,"A six-module program including education, monitoring, practical strategies to improve sleep, and relapse prevention",https://www.mydigitalhealth.org.au/programs-available/
Sleep,Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
Sleep,"Mobile app","North Coast",,"Smiling mind","Mindfulness training with a sleep-specific module as well as others that may assist in improving sleep (e.g., stress) ",https://smilingmind.com.au/smiling-mind-app/
Sleep,"Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
Sleep,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
Energy,Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by problems with energy and other symptoms of anxiety or depression",https://mindspot.org.au/
Energy,Telephone,"North Coast",,"Get healthy","Free confidential telephone based expert advice to find a healthier, happier you",http://www.gethealthynsw.com.au/
Energy,"Mobile app","North Coast",,Recharge,"Assists you to improve energy by establishing a good sleep/wake routine that includes regular exercise and exposure to daylight",https://au.reachout.com/tools-and-apps/recharge
Energy,"Near me","North Coast","Coffs Harbour","Stroll Patrol","Improve your energy levels by joining a local mental health walking group -  follow the link and search for your postcode",http://walking.heartfoundation.org.au/walking/find-walk
Energy,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
Appetite,Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by problems with appetite and other symptoms of anxiety or depression",https://mindspot.org.au/
Appetite,Telephone,"North Coast",,"Get healthy","Free confidential telephone based expert advice to find a healthier, happier you",http://www.gethealthynsw.com.au/
Appetite,"Mobile app","North Coast",,"Smiling mind","Provides guidance on mindful eating which may have benefits whether you are eating too much or too little ",https://smilingmind.com.au/smiling-mind-app/
Appetite,"Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
Appetite,"Near me","North Coast","Port Macquarie",,,
Self-image,Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Self-image,Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
Self-image,"Mobile app","North Coast",,"Good Blocks","Assists to improve self-esteem, body image, anxiety and mood through ",http://samuramu.com/goodblocks/
Self-image,"Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
Self-image,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Concentration / attention",Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by problems with concentration and other symptoms of anxiety or depression",https://mindspot.org.au/
"Concentration / attention",Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
"Concentration / attention","Mobile app","North Coast",,"Smiling mind","Learn to focus your mind through short mindfulness training exercises",https://smilingmind.com.au/smiling-mind-app/
"Concentration / attention","Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
"Concentration / attention","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Motor activity / movement",Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Motor activity / movement",Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
"Motor activity / movement","Mobile app","North Coast",,MoodMission,"Tell the app how you're feeling to receive a selection of simple and effective missions that will help boost your activity levels",http://moodmission.com/
"Motor activity / movement","Near me","North Coast","Coffs Harbour","Stroll Patrol","Improve your activity levels by joining a local mental health walking group -  follow the link and search for your postcode",http://walking.heartfoundation.org.au/walking/find-walk
"Motor activity / movement","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Thoughts of death",Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Thoughts of death",Telephone,"North Coast",,"Suicide Call Back Service","Provides immediate support to anyone feeling suicidal, and longer term support through up to six free telephone counselling sessions. Call 1300 658 467.",https://www.suicidecallbackservice.org.au/
"Thoughts of death","Mobile app","North Coast",,BeyondNow,"Allows you to create a safety plan that you can work through when you're experiencing suicidal thoughts",https://www.beyondblue.org.au/get-support/beyondnow-suicide-safety-planning/
"Thoughts of death","Near me","North Coast","Coffs Harbour","Coffs Harbour Mental Health and Wellbeing Support Group","Provides support for people experiencing difficulties with their mental health and wellbeing. This group meets at 11am on the first Thursday of each month.",http://coffsconnect.com.au/coffs-harbour-mental-health-and-wellbeing-support-group
"Thoughts of death","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Anxiety / worry",Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
"Anxiety / worry",Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
"Anxiety / worry","Mobile app","North Coast",,"Smiling mind","Learn to calm your mind and build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
"Anxiety / worry","Near me","North Coast","Coffs Harbour","Coffs Harbour Anxiety Support Group","Meet others struggling with anxiety; share experiences and solutions. The group meets at 11am on the second and fourth Tuesdays of the month.",http://coffsconnect.com.au/coffs-harbour-anxiety-support-group
"Anxiety / worry","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
Health,Online,"North Coast",,iChooseWell,"A comprehensive program that provides instructions and tools to help you learn new wellness strategies and put them into practice.",https://www.mydigitalhealth.org.au/programs-available/
Health,Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
Health,"Mobile app","North Coast",,healthdirect,"Provides tools to help you manage your health. Check your symptoms, find a health service, and get trusted health information.",https://www.healthdirect.gov.au/health-app
Health,"Near me","North Coast","Coffs Harbour","Stroll Patrol","Improve your physical and mental health by joining a local mental health walking group - follow the link and search for your postcode",http://walking.heartfoundation.org.au/walking/find-walk/
Health,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Activities of daily life",Online,"North Coast",,MindSpot,"The MindSpot pain course asssists people with chronic pain to manage their physical and emotional health",https://mindspot.org.au/pain-course
"Activities of daily life",Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
"Activities of daily life","Mobile app","North Coast",,Flaredown,"Track symptoms, treatments, triggers, and connect with the online community",http://flaredown.com/
"Activities of daily life","Near me","North Coast","Coffs Harbour","New Horizons","Provides personalised plans to support you to reach your goals",http://newhorizons.org.au/expertise/mental-health/
"Activities of daily life","Near me","North Coast","Port Macquarie",TBC,TBC,TBC
"Household economy",Online,"North Coast",,MoneySmart,"Provides financial guidance, tools, and resources",https://www.moneysmart.gov.au/
"Household economy",Telephone,"North Coast",,"National Debt Helpline","Provides free financial counselling. Call 1800 007 007 between 9:30am and 4:30pm, Monday to Friday",http://www.ndh.org.au/
"Household economy","Mobile app","North Coast",,Pocketbook,"Includes a budget planner and personal finance software",https://getpocketbook.com/
"Household economy","Near me","North Coast","Coffs Harbour",Lifeline,"Provides free face-to-face financial counselling for anyone who feels overwhelmed with money problems. Call 02 6651 4093 to make an appointment.",https://www.lifeline.org.au/north-coast-nsw/counselling-services
"Household economy","Near me","North Coast","Port Macquarie",,,
Generic,Online,"North Coast",,MindSpot,"Provides free online assessment and treatment for people troubled by symptoms of anxiety, depression, and related problems",https://mindspot.org.au/
Generic,Telephone,"North Coast",,"New Access","Provides free support from a trained coach; call 1300 137 934",https://www.beyondblue.org.au/get-support/newaccess
Generic,"Mobile app","North Coast",,"Smiling mind","Build mental health and wellbeing through mindfulness-based tools",https://smilingmind.com.au/smiling-mind-app/
Generic,"Near me","North Coast","Coffs Harbour",CoffsConnect,"Meet people with similar interests, get inspired to try something new, or join a support group",http://coffsconnect.com.au/community-groups
Generic,"Near me","North Coast","Port Macquarie",TBC,TBC,TBC
